#,Event,Date,Country,Location,Venue,Attendance
563,UFC 262: Oliveira vs. Chandler,2021-05-15,USA,"Houston, Texas",Toyota Center,"16,005"
562,UFC on ESPN: Rodriguez vs. Waterson,2021-05-08,USA,"Las Vegas, Nevada",UFC Apex,0
561,UFC on ESPN: Reyes vs. Procházka,2021-05-01,USA,"Las Vegas, Nevada",UFC Apex,0
560,UFC 261: Usman vs. Masvidal 2,2021-04-24,USA,"Jacksonville, Florida",VyStar Veterans Memorial Arena,"15,269"
559,UFC on ESPN: Whittaker vs. Gastelum,2021-04-17,USA,"Las Vegas, Nevada",UFC Apex,0
558,UFC on ABC: Vettori vs. Holland,2021-04-10,USA,"Las Vegas, Nevada",UFC Apex,0
557,UFC 260: Miocic vs. Ngannou 2,2021-03-27,USA,"Las Vegas, Nevada",UFC Apex,0
556,UFC on ESPN: Brunson vs. Holland,2021-03-20,USA,"Las Vegas, Nevada",UFC Apex,0
555,UFC Fight Night: Edwards vs. Muhammad,2021-03-13,USA,"Las Vegas, Nevada",UFC Apex,0
554,UFC 259: Błachowicz vs. Adesanya,2021-03-06,USA,"Las Vegas, Nevada",UFC Apex,0
553,UFC Fight Night: Rozenstruik vs. Gane,2021-02-27,USA,"Las Vegas, Nevada",UFC Apex,0
552,UFC Fight Night: Blaydes vs. Lewis,2021-02-20,USA,"Las Vegas, Nevada",UFC Apex,0
551,UFC 258: Usman vs. Burns,2021-02-13,USA,"Las Vegas, Nevada",UFC Apex,0
550,UFC Fight Night: Overeem vs. Volkov,2021-02-06,USA,"Las Vegas, Nevada",UFC Apex,0
549,UFC 257: Poirier vs. McGregor 2,2021-01-24,United Arab Emirates,Abu Dhabi,Etihad Arena,"2,600"
548,UFC on ESPN: Chiesa vs. Magny,2021-01-20,United Arab Emirates,Abu Dhabi,Etihad Arena,"2,000"
547,UFC on ABC: Holloway vs. Kattar,2021-01-16,United Arab Emirates,Abu Dhabi,Etihad Arena,"2,000"
546,UFC Fight Night: Thompson vs. Neal,2020-12-19,USA,"Las Vegas, Nevada",UFC Apex,0
545,UFC 256: Figueiredo vs. Moreno,2020-12-12,USA,"Las Vegas, Nevada",UFC Apex,0
544,UFC on ESPN: Hermansson vs. Vettori,2020-12-05,USA,"Las Vegas, Nevada",UFC Apex,0
543,UFC on ESPN: Smith vs. Clark,2020-11-28,USA,"Las Vegas, Nevada",UFC Apex,0
542,UFC 255: Figueiredo vs. Perez,2020-11-21,USA,"Las Vegas, Nevada",UFC Apex,0
541,UFC Fight Night: Felder vs. dos Anjos,2020-11-14,USA,"Las Vegas, Nevada",UFC Apex,0
540,UFC on ESPN: Santos vs. Teixeira,2020-11-07,USA,"Las Vegas, Nevada",UFC Apex,0
539,UFC Fight Night: Hall vs. Silva,2020-10-31,USA,"Las Vegas, Nevada",UFC Apex,0
538,UFC 254: Khabib vs. Gaethje,2020-10-24,United Arab Emirates,Abu Dhabi,du Forum,0
537,UFC Fight Night: Ortega vs. The Korean Zombie,2020-10-18,United Arab Emirates,Abu Dhabi,du Forum,0
536,UFC Fight Night: Moraes vs. Sandhagen,2020-10-11,United Arab Emirates,Abu Dhabi,du Forum,0
535,UFC on ESPN: Holm vs. Aldana,2020-10-04,United Arab Emirates,Abu Dhabi,du Forum,0
534,UFC 253: Adesanya vs. Costa,2020-09-27,United Arab Emirates,Abu Dhabi,du Forum,0
533,UFC Fight Night: Covington vs. Woodley,2020-09-19,USA,"Las Vegas, Nevada",UFC Apex,0
532,UFC Fight Night: Waterson vs. Hill,2020-09-12,USA,"Las Vegas, Nevada",UFC Apex,0
531,UFC Fight Night: Overeem vs. Sakai,2020-09-05,USA,"Las Vegas, Nevada",UFC Apex,0
530,UFC Fight Night: Smith vs. Rakić,2020-08-29,USA,"Las Vegas, Nevada",UFC Apex,0
529,UFC on ESPN: Munhoz vs. Edgar,2020-08-22,USA,"Las Vegas, Nevada",UFC Apex,0
528,UFC 252: Miocic vs. Cormier 3,2020-08-15,USA,"Las Vegas, Nevada",UFC Apex,0
527,UFC Fight Night: Lewis vs. Oleinik,2020-08-08,USA,"Las Vegas, Nevada",UFC Apex,0
526,UFC Fight Night: Brunson vs. Shahbazyan,2020-08-01,USA,"Las Vegas, Nevada",UFC Apex,0
525,UFC on ESPN: Whittaker vs. Till,2020-07-26,United Arab Emirates,Abu Dhabi,du Forum,0
524,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-19,United Arab Emirates,Abu Dhabi,du Forum,0
523,UFC on ESPN: Kattar vs. Ige,2020-07-16,United Arab Emirates,Abu Dhabi,du Forum,0
522,UFC 251: Usman vs. Masvidal,2020-07-12,United Arab Emirates,Abu Dhabi,du Forum,0
521,UFC on ESPN: Poirier vs. Hooker,2020-06-27,USA,"Las Vegas, Nevada",UFC Apex,0
520,UFC on ESPN: Blaydes vs. Volkov,2020-06-20,USA,"Las Vegas, Nevada",UFC Apex,0
519,UFC on ESPN: Eye vs. Calvillo,2020-06-13,USA,"Las Vegas, Nevada",UFC Apex,0
518,UFC 250: Nunes vs. Spencer,2020-06-06,USA,"Las Vegas, Nevada",UFC Apex,0
517,UFC on ESPN: Woodley vs. Burns,2020-05-30,USA,"Las Vegas, Nevada",UFC Apex,0
516,UFC on ESPN: Overeem vs. Harris,2020-05-16,USA,"Jacksonville, Florida",VyStar Veterans Memorial Arena,0
515,UFC Fight Night: Smith vs. Teixeira,2020-05-13,USA,"Jacksonville, Florida",VyStar Veterans Memorial Arena,0
514,UFC 249: Ferguson vs. Gaethje,2020-05-09,USA,"Jacksonville, Florida",VyStar Veterans Memorial Arena,0
513,UFC Fight Night: Lee vs. Oliveira,2020-03-14,Brazil,Brasília,Ginásio Nilson Nelson,0
512,UFC 248: Adesanya vs. Romero,2020-03-07,USA,"Las Vegas, Nevada",T-Mobile Arena,"15,077"
