Fight,Winner,Defeated,Referee,Date,Country,Location,Title_Bout,Weight_Class,R_fighter,B_fighter,Winning_Corner,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age
Adrian Yanez vs Gustavo Lopez,Adrian Yanez,Gustavo Lopez,Chris Tognoni,20/03/2021,USA,"Las Vegas, Nevada",Non Title Fight,Bantamweight,Adrian Yanez,Gustavo Lopez,Red,165.1,170.18,135,170.18,177.8,135,31,27
Montel Jackson vs Jesse Strader,Montel Jackson,Jesse Strader,Keith Peterson,20/03/2021,USA,"Las Vegas, Nevada",Non Title Fight,Bantamweight,Montel Jackson,Jesse Strader,Red,170.18,177.8,135,177.8,190.5,135,29,28
Bruno Silva vs JP Buys,Bruno Silva,JP Buys,Mark Smith,20/03/2021,USA,"Las Vegas, Nevada",Non Title Fight,Flyweight,Bruno Silva,JP Buys,Red,165.1,170.18,125,182.88,,185,24,31
Tai Tuivasa vs Harry Hunsucker,Tai Tuivasa,Harry Hunsucker,Herb Dean,20/03/2021,USA,"Las Vegas, Nevada",Non Title Fight,Heavyweight,Tai Tuivasa,Harry Hunsucker,Red,187.96,190.5,241,187.96,190.5,264,32,28
Leonardo Santos vs Grant Dawson,Grant Dawson,Leonardo Santos,Chris Tognoni,20/03/2021,USA,"Las Vegas, Nevada",Non Title Fight,Lightweight,Leonardo Santos,Grant Dawson,Blue,177.8,182.88,145,182.88,190.5,155,27,41
Trevin Giles vs Roman Dolidze,Trevin Giles,Roman Dolidze,Herb Dean,20/03/2021,USA,"Las Vegas, Nevada",Non Title Fight,Middleweight,Trevin Giles,Roman Dolidze,Red,187.96,193.04,205,182.88,187.96,185,32,28
Derek Brunson vs Kevin Holland,Derek Brunson,Kevin Holland,Herb Dean,20/03/2021,USA,"Las Vegas, Nevada",Non Title Fight,Middleweight,Derek Brunson,Kevin Holland,Red,190.5,205.74,185,185.42,195.58,185,28,37
Song Kenan vs Max Griffin,Max Griffin,Song Kenan,Keith Peterson,20/03/2021,USA,"Las Vegas, Nevada",Non Title Fight,Welterweight,Song Kenan,Max Griffin,Blue,180.34,193.04,170,182.88,180.34,170,35,31
Marion Reneau vs Macy Chiasson,Macy Chiasson,Marion Reneau,Mark Smith,20/03/2021,USA,"Las Vegas, Nevada",Non Title Fight,Women Bantamweight,Marion Reneau,Macy Chiasson,Blue,180.34,182.88,135,167.64,172.72,135,29,43
Cheyanne Buys vs Montserrat Conejo,Montserrat Conejo,Cheyanne Buys,Mark Smith,20/03/2021,USA,"Las Vegas, Nevada",Non Title Fight,Women Strawweight,Cheyanne Buys,Montserrat Conejo,Blue,152.4,154.94,115,160.02,160.02,115,28,25
